Region,Country,Date_of_Arrival,Number_of_Tourists
Southeast Asia,Brunei Darussalam,2023-01-01,"3,653"
Southeast Asia,Indonesia,2023-01-01,"168,975"
Southeast Asia,Malaysia,2023-01-01,"72,756"
Southeast Asia,Myanmar,2023-01-01,"8,982"
Southeast Asia,Philippines,2023-01-01,"38,484"
Southeast Asia,Thailand,2023-01-01,"29,735"
Southeast Asia,Vietnam,2023-01-01,"31,824"
Southeast Asia,Other Markets In Southeast Asia,2023-01-01,"7,846"
Greater China,China,2023-01-01,"28,375"
Greater China,Hong Kong SAR,2023-01-01,"26,208"
Greater China,Taiwan,2023-01-01,"31,444"
Greater China,Other Markets In Greater China,2023-01-01,"3,361"
North Asia,Japan,2023-01-01,"18,335"
North Asia,South Korea,2023-01-01,"60,457"
North Asia,Other Markets In North Asia,2023-01-01,131
South Asia,Bangladesh,2023-01-01,"8,789"
South Asia,India,2023-01-01,"56,605"
South Asia,Pakistan,2023-01-01,"1,452"
South Asia,Sri Lanka,2023-01-01,"3,083"
South Asia,Other Markets In South Asia,2023-01-01,"2,302"
West Asia,Iran,2023-01-01,156
West Asia,Israel,2023-01-01,"1,342"
West Asia,Kuwait,2023-01-01,672
West Asia,Saudi Arabia,2023-01-01,532
West Asia,United Arab Emirates,2023-01-01,"4,074"
West Asia,Other Markets In West Asia,2023-01-01,"1,404"
Americas,Canada,2023-01-01,"11,207"
Americas,USA,2023-01-01,"50,492"
Americas,Other Markets In Americas,2023-01-01,"6,203"
Europe,Belgium & Luxembourg,2023-01-01,"1,707"
Europe,Denmark,2023-01-01,"2,674"
Europe,Finland,2023-01-01,"2,247"
Europe,France,2023-01-01,"9,873"
Europe,Germany,2023-01-01,"26,678"
Europe,Italy,2023-01-01,"4,082"
Europe,Netherlands,2023-01-01,"6,430"
Europe,Norway,2023-01-01,"1,891"
Europe,Rep Of Ireland,2023-01-01,"1,767"
Europe,Russian Federation,2023-01-01,"6,637"
Europe,Spain,2023-01-01,"3,229"
Europe,Sweden,2023-01-01,"3,234"
Europe,Switzerland,2023-01-01,"5,034"
Europe,United Kingdom,2023-01-01,"38,123"
Europe,Other Markets In Europe,2023-01-01,"18,233"
Oceania,Australia,2023-01-01,"102,888"
Oceania,New Zealand,2023-01-01,"10,766"
Oceania,Other Markets In Oceania,2023-01-01,"3,140"
Africa,Egypt,2023-01-01,192
Africa,Mauritius,2023-01-01,418
Africa,South Africa (Rep Of),2023-01-01,"2,229"
Africa,Other Markets In Africa,2023-01-01,"1,343"
Others,Others,2023-01-01,120
Southeast Asia,Brunei Darussalam,2023-02-01,"4,739"
Southeast Asia,Indonesia,2023-02-01,"156,448"
Southeast Asia,Malaysia,2023-02-01,"88,040"
Southeast Asia,Myanmar,2023-02-01,"7,734"
Southeast Asia,Philippines,2023-02-01,"47,446"
Southeast Asia,Thailand,2023-02-01,"37,156"
Southeast Asia,Vietnam,2023-02-01,"27,896"
Southeast Asia,Other Markets In Southeast Asia,2023-02-01,"7,037"
Greater China,China,2023-02-01,"35,312"
Greater China,Hong Kong SAR,2023-02-01,"20,227"
Greater China,Taiwan,2023-02-01,"25,037"
Greater China,Other Markets In Greater China,2023-02-01,"1,702"
North Asia,Japan,2023-02-01,"32,932"
North Asia,South Korea,2023-02-01,"64,876"
North Asia,Other Markets In North Asia,2023-02-01,173
South Asia,Bangladesh,2023-02-01,"8,006"
South Asia,India,2023-02-01,"61,301"
South Asia,Pakistan,2023-02-01,"1,584"
South Asia,Sri Lanka,2023-02-01,"3,829"
South Asia,Other Markets In South Asia,2023-02-01,"2,163"
West Asia,Iran,2023-02-01,175
West Asia,Israel,2023-02-01,"1,510"
West Asia,Kuwait,2023-02-01,359
West Asia,Saudi Arabia,2023-02-01,688
West Asia,United Arab Emirates,2023-02-01,"4,971"
West Asia,Other Markets In West Asia,2023-02-01,"1,456"
Americas,Canada,2023-02-01,"13,407"
Americas,USA,2023-02-01,"52,830"
Americas,Other Markets In Americas,2023-02-01,"6,465"
Europe,Belgium & Luxembourg,2023-02-01,"2,079"
Europe,Denmark,2023-02-01,"3,216"
Europe,Finland,2023-02-01,"2,312"
Europe,France,2023-02-01,"13,722"
Europe,Germany,2023-02-01,"31,063"
Europe,Italy,2023-02-01,"4,861"
Europe,Netherlands,2023-02-01,"7,053"
Europe,Norway,2023-02-01,"2,439"
Europe,Rep Of Ireland,2023-02-01,"1,868"
Europe,Russian Federation,2023-02-01,"7,009"
Europe,Spain,2023-02-01,"3,302"
Europe,Sweden,2023-02-01,"2,967"
Europe,Switzerland,2023-02-01,"6,310"
Europe,United Kingdom,2023-02-01,"45,785"
Europe,Other Markets In Europe,2023-02-01,"22,398"
Oceania,Australia,2023-02-01,"72,385"
Oceania,New Zealand,2023-02-01,"6,821"
Oceania,Other Markets In Oceania,2023-02-01,"2,559"
Africa,Egypt,2023-02-01,205
Africa,Mauritius,2023-02-01,274
Africa,South Africa (Rep Of),2023-02-01,"1,698"
Africa,Other Markets In Africa,2023-02-01,"1,896"
Others,Others,2023-02-01,123
Southeast Asia,Brunei Darussalam,2023-03-01,"4,460"
Southeast Asia,Indonesia,2023-03-01,"171,507"
Southeast Asia,Malaysia,2023-03-01,"97,835"
Southeast Asia,Myanmar,2023-03-01,"9,122"
Southeast Asia,Philippines,2023-03-01,"50,591"
Southeast Asia,Thailand,2023-03-01,"43,145"
Southeast Asia,Vietnam,2023-03-01,"31,347"
Southeast Asia,Other Markets In Southeast Asia,2023-03-01,"6,927"
Greater China,China,2023-03-01,"60,888"
Greater China,Hong Kong SAR,2023-03-01,"23,465"
Greater China,Taiwan,2023-03-01,"19,204"
Greater China,Other Markets In Greater China,2023-03-01,"1,575"
North Asia,Japan,2023-03-01,"36,302"
North Asia,South Korea,2023-03-01,"35,396"
North Asia,Other Markets In North Asia,2023-03-01,105
South Asia,Bangladesh,2023-03-01,"9,711"
South Asia,India,2023-03-01,"75,339"
South Asia,Pakistan,2023-03-01,"1,060"
South Asia,Sri Lanka,2023-03-01,"4,088"
South Asia,Other Markets In South Asia,2023-03-01,"2,272"
West Asia,Iran,2023-03-01,"1,414"
West Asia,Israel,2023-03-01,"1,639"
West Asia,Kuwait,2023-03-01,205
West Asia,Saudi Arabia,2023-03-01,880
West Asia,United Arab Emirates,2023-03-01,"6,795"
West Asia,Other Markets In West Asia,2023-03-01,"1,990"
Americas,Canada,2023-03-01,"12,626"
Americas,USA,2023-03-01,"54,157"
Americas,Other Markets In Americas,2023-03-01,"6,841"
Europe,Belgium & Luxembourg,2023-03-01,"2,215"
Europe,Denmark,2023-03-01,"2,679"
Europe,Finland,2023-03-01,"2,131"
Europe,France,2023-03-01,"12,924"
