Region,Country,Date_of_Arrival,Number_of_Tourists
Southeast Asia,Brunei Darussalam,Jan-23,"3,653"
Southeast Asia,Indonesia,Jan-23,"168,975"
Southeast Asia,Malaysia,Jan-23,"72,756"
Southeast Asia,Myanmar,Jan-23,"8,982"
Southeast Asia,Philippines,Jan-23,"38,484"
Southeast Asia,Thailand,Jan-23,"29,735"
Southeast Asia,Vietnam,Jan-23,"31,824"
Southeast Asia,Other Markets In Southeast Asia,Jan-23,"7,846"
Greater China,China,Jan-23,"28,375"
Greater China,Hong Kong SAR,Jan-23,"26,208"
Greater China,Taiwan,Jan-23,"31,444"
Greater China,Other Markets In Greater China,Jan-23,"3,361"
North Asia,Japan,Jan-23,"18,335"
North Asia,South Korea,Jan-23,"60,457"
North Asia,Other Markets In North Asia,Jan-23,131
South Asia,Bangladesh,Jan-23,"8,789"
South Asia,India,Jan-23,"56,605"
South Asia,Pakistan,Jan-23,"1,452"
South Asia,Sri Lanka,Jan-23,"3,083"
South Asia,Other Markets In South Asia,Jan-23,"2,302"
West Asia,Iran,Jan-23,156
West Asia,Israel,Jan-23,"1,342"
West Asia,Kuwait,Jan-23,672
West Asia,Saudi Arabia,Jan-23,532
West Asia,United Arab Emirates,Jan-23,"4,074"
West Asia,Other Markets In West Asia,Jan-23,"1,404"
Americas,Canada,Jan-23,"11,207"
Americas,USA,Jan-23,"50,492"
Americas,Other Markets In Americas,Jan-23,"6,203"
Europe,Belgium & Luxembourg,Jan-23,"1,707"
Europe,Denmark,Jan-23,"2,674"
Europe,Finland,Jan-23,"2,247"
Europe,France,Jan-23,"9,873"
Europe,Germany,Jan-23,"26,678"
Europe,Italy,Jan-23,"4,082"
Europe,Netherlands,Jan-23,"6,430"
Europe,Norway,Jan-23,"1,891"
Europe,Rep Of Ireland,Jan-23,"1,767"
Europe,Russian Federation,Jan-23,"6,637"
Europe,Spain,Jan-23,"3,229"
Europe,Sweden,Jan-23,"3,234"
Europe,Switzerland,Jan-23,"5,034"
Europe,United Kingdom,Jan-23,"38,123"
Europe,Other Markets In Europe,Jan-23,"18,233"
Oceania,Australia,Jan-23,"102,888"
Oceania,New Zealand,Jan-23,"10,766"
Oceania,Other Markets In Oceania,Jan-23,"3,140"
Africa,Egypt,Jan-23,192
Africa,Mauritius,Jan-23,418
Africa,South Africa (Rep Of),Jan-23,"2,229"
Africa,Other Markets In Africa,Jan-23,"1,343"
Others,Others,Jan-23,120
Southeast Asia,Brunei Darussalam,Feb-23,"4,739"
Southeast Asia,Indonesia,Feb-23,"156,448"
Southeast Asia,Malaysia,Feb-23,"88,040"
Southeast Asia,Myanmar,Feb-23,"7,734"
Southeast Asia,Philippines,Feb-23,"47,446"
Southeast Asia,Thailand,Feb-23,"37,156"
Southeast Asia,Vietnam,Feb-23,"27,896"
Southeast Asia,Other Markets In Southeast Asia,Feb-23,"7,037"
Greater China,China,Feb-23,"35,312"
Greater China,Hong Kong SAR,Feb-23,"20,227"
Greater China,Taiwan,Feb-23,"25,037"
Greater China,Other Markets In Greater China,Feb-23,"1,702"
North Asia,Japan,Feb-23,"32,932"
North Asia,South Korea,Feb-23,"64,876"
North Asia,Other Markets In North Asia,Feb-23,173
South Asia,Bangladesh,Feb-23,"8,006"
South Asia,India,Feb-23,"61,301"
South Asia,Pakistan,Feb-23,"1,584"
South Asia,Sri Lanka,Feb-23,"3,829"
South Asia,Other Markets In South Asia,Feb-23,"2,163"
West Asia,Iran,Feb-23,175
West Asia,Israel,Feb-23,"1,510"
West Asia,Kuwait,Feb-23,359
West Asia,Saudi Arabia,Feb-23,688
West Asia,United Arab Emirates,Feb-23,"4,971"
West Asia,Other Markets In West Asia,Feb-23,"1,456"
Americas,Canada,Feb-23,"13,407"
Americas,USA,Feb-23,"52,830"
Americas,Other Markets In Americas,Feb-23,"6,465"
Europe,Belgium & Luxembourg,Feb-23,"2,079"
Europe,Denmark,Feb-23,"3,216"
Europe,Finland,Feb-23,"2,312"
Europe,France,Feb-23,"13,722"
Europe,Germany,Feb-23,"31,063"
Europe,Italy,Feb-23,"4,861"
Europe,Netherlands,Feb-23,"7,053"
Europe,Norway,Feb-23,"2,439"
Europe,Rep Of Ireland,Feb-23,"1,868"
Europe,Russian Federation,Feb-23,"7,009"
Europe,Spain,Feb-23,"3,302"
Europe,Sweden,Feb-23,"2,967"
Europe,Switzerland,Feb-23,"6,310"
Europe,United Kingdom,Feb-23,"45,785"
Europe,Other Markets In Europe,Feb-23,"22,398"
Oceania,Australia,Feb-23,"72,385"
Oceania,New Zealand,Feb-23,"6,821"
Oceania,Other Markets In Oceania,Feb-23,"2,559"
Africa,Egypt,Feb-23,205
Africa,Mauritius,Feb-23,274
Africa,South Africa (Rep Of),Feb-23,"1,698"
Africa,Other Markets In Africa,Feb-23,"1,896"
Others,Others,Feb-23,123
Southeast Asia,Brunei Darussalam,Mar-23,"4,460"
Southeast Asia,Indonesia,Mar-23,"171,507"
Southeast Asia,Malaysia,Mar-23,"97,835"
Southeast Asia,Myanmar,Mar-23,"9,122"
Southeast Asia,Philippines,Mar-23,"50,591"
Southeast Asia,Thailand,Mar-23,"43,145"
Southeast Asia,Vietnam,Mar-23,"31,347"
Southeast Asia,Other Markets In Southeast Asia,Mar-23,"6,927"
Greater China,China,Mar-23,"60,888"
Greater China,Hong Kong SAR,Mar-23,"23,465"
Greater China,Taiwan,Mar-23,"19,204"
Greater China,Other Markets In Greater China,Mar-23,"1,575"
North Asia,Japan,Mar-23,"36,302"
North Asia,South Korea,Mar-23,"35,396"
North Asia,Other Markets In North Asia,Mar-23,105
South Asia,Bangladesh,Mar-23,"9,711"
South Asia,India,Mar-23,"75,339"
South Asia,Pakistan,Mar-23,"1,060"
South Asia,Sri Lanka,Mar-23,"4,088"
South Asia,Other Markets In South Asia,Mar-23,"2,272"
West Asia,Iran,Mar-23,"1,414"
West Asia,Israel,Mar-23,"1,639"
West Asia,Kuwait,Mar-23,205
West Asia,Saudi Arabia,Mar-23,880
West Asia,United Arab Emirates,Mar-23,"6,795"
West Asia,Other Markets In West Asia,Mar-23,"1,990"
Americas,Canada,Mar-23,"12,626"
Americas,USA,Mar-23,"54,157"
Americas,Other Markets In Americas,Mar-23,"6,841"
Europe,Belgium & Luxembourg,Mar-23,"2,215"
Europe,Denmark,Mar-23,"2,679"
Europe,Finland,Mar-23,"2,131"
Europe,France,Mar-23,"12,924"
Europe,Germany,Mar-23,"34,976"
Europe,Italy,Mar-23,"4,643"
Europe,Netherlands,Mar-23,"6,956"
Europe,Norway,Mar-23,"2,342"
Europe,Rep Of Ireland,Mar-23,"1,992"
Europe,Russian Federation,Mar-23,"6,635"
Europe,Spain,Mar-23,"3,936"
Europe,Sweden,Mar-23,"2,786"
Europe,Switzerland,Mar-23,"5,940"
Europe,United Kingdom,Mar-23,"50,330"
Europe,Other Markets In Europe,Mar-23,"21,453"
Oceania,Australia,Mar-23,"74,268"
Oceania,New Zealand,Mar-23,"6,871"
Oceania,Other Markets In Oceania,Mar-23,"2,688"
Africa,Egypt,Mar-23,168
Africa,Mauritius,Mar-23,474
Africa,South Africa (Rep Of),Mar-23,"1,995"
Africa,Other Markets In Africa,Mar-23,"1,663"
Others,Others,Mar-23,89
Southeast Asia,Brunei Darussalam,Apr-23,"5,850"
Southeast Asia,Indonesia,Apr-23,"220,067"
Southeast Asia,Malaysia,Apr-23,"98,190"
Southeast Asia,Myanmar,Apr-23,"11,787"
Southeast Asia,Philippines,Apr-23,"57,030"
Southeast Asia,Thailand,Apr-23,"49,727"
Southeast Asia,Vietnam,Apr-23,"36,630"
